A|art.|un|
MANGLE|v.|mutilar, lacerar|
MANGO|XXX|mangue|
MANHOLE|XXX|fore de intrada|
MANHOOD|XXX|virilitá, natura homan|
MANIA|XXX|manie, passion, furie|
MANIAC|XXX|maniac (-al)|
MANICURE|XXX|manicura (-ist)|
MANIFEST|adj.|evident|
MANIFEST|n.|manifeste (-ar)|
MANIFOLD|XXX|multiplic|
MANIFOLD|XXX|varie, diversi, numerosi, multiplic|
MANIPULATE|v.|manipular (-ation)|
MANKIND|XXX|homanité, génere homan|
MANLY|XXX|mannesc, viril (-itá)|
MANNA|XXX|manna|
MANNEQUIN|XXX|mannequin|
MANNER|XXX|maniere|
MANNERISM|XXX|afectation, manierisme|
MANNERLY|XXX|polit, cortesi, bon educat|
MANNERS|XXX|mores; manieres|
MANNISH|XXX|mannatri|
MANOEUVRE|n.|manovre (-ar, -ada)|
MANOR|n.|(estate) domene senioral|
MANSION|XXX|grand dom, palace|
MANSLAUGHTER|XXX|homicidie|
MANTELPIECE|XXX|corniche del camine|
MANTELSHELF|XXX|plate de camine|
MANTILLA|XXX|mantille|
MANTLE|n.|mantel, mantó|
MANTLE|v.|invelopar, covrir|
MANUAL|adj.|manual|
MANUAL|n.|manuale|
MANUFACTORY|XXX|fabrica|
MANUFACTURE|n.|fabrication; (thing made) fabricate|
MANUFACTURE|v.|fabricar|
MANURE|v.|stercar|
MANURE|n.|sterco|
MANUSCRIPT|n.|manuscrite|
MANUSCRIPT BOOK|XXX|caderne|
MANY|XXX|mult; (prefix) multi-, pluri-, poli-|
MANY A ...|XXX|mani|
MAP|XXX|carte geografic, land-carte|
MAPLE|XXX|ácere|
MAR|v.|defecter, nocer; trublar|
MARAUD|v.|niarodar (-ero)|
MARBLE|n.|marmor (-ar, -in, -osi, -ifer); (toy) bulette, globul|
MARCH|n.|marcha (-ar); (month) marte|
MARCHES|n.|(borders) bornes, límites|
MARCHIONESS|XXX|marquesa|
MARE|XXX|cavalla|
MARE'S NEST|XXX|fiasco|
MARGARINE|XXX|margarine|
MARGIN|XXX|márgine (-al, -ar)|
MARGRAVE|XXX|margravio (-a)|
MARGUERITE|XXX|margarita|
MARIGOLD|XXX|calendul|
MARINE|adj.|marin|
MARINE|n.|marine; soldate marin; (fleet) flotte|
MARINER|XXX|marinero, navigator|
MARIONETTE|XXX|marionette|
MARITAL|XXX|marital|
MARITIME|XXX|maritim, marin|
MARJORAM|n.|(bot.) origan|
MARK|n.|marca, signe, indicie; (aim) scope; (target) cible; (coin) mark; (exam.) punctu; (trace) vestigie, tracie|
MARK|v.|marcar, notar|
MARKED|XXX|marcat; distint, sentibil|
MARKET|v.|vendir (-ition)|
MARKET|n.|mercate; bazar|
MARKET PLACE|XXX|piazza del mercate|
MARKET-TOWN|XXX|borgo|
MARKETABLE|XXX|vendibil|
MARKSMAN|XXX|tirator|
MARL|XXX|marne|
MARMALADE|XXX|marmalade|
MARMOT|XXX|marmotte|
MAROON|adj.|maroncolori|
MAROON|v.|abandonar|
MARQUEE|XXX|grand tenda|
MARQUIS|XXX|marquese, marqueso (-atu)|
MARRIAGE|XXX|maritage, matrimonie (-al), nuptie|
MARRIAGE PORTION|XXX|dot|
MARRIAGEABLE|XXX|maritabil|
MARROW|n.|(of bones) medulle; (vegetable) cucurbite|
MARRY|v.|maritar (se)|
MARSH|XXX|palude (-osi), morasse|
MARSH-MALLOW|XXX|altéa|
MARSHAL|v.|ordinar, arangear|
MARSHAL|n.|marchale|
MARSUPIAL|XXX|marsupiale|
MART|XXX|mercate|
MARTEN|XXX|martre|
MARTIAL|XXX|martial, guerresc|
MARTINET|XXX|disciplinario|
MARTYR|XXX|martiro (-ie, -isar)|
MARVEL|v.|astonar se|
MARVEL|n.|marvel (-osi), miracul|
MARZIPAN|XXX|marcipane|
MASCOT|XXX|talisman|
MASCULINE|adj.|masculin|
MASCULINE|n.|masculine|
MASH|n.|mixti-forrage|
MASH|v.|pistar, mixter|
MASK|v.|camuflar|
MASK|n.|masca (-ar)|
MASON|XXX|murero, murator; (Freemason) francmasson (-eríe)|
MASONRY|XXX|mureríe; massoneríe; (fallen) murallia|
MASQUERADE|XXX|mascarade|
MASS|n.|masse; (eccl.) messe|
MASS|v.|amassar|
MASSACRE|XXX|massacre (-ar)|
MASSAGE|v.|massar (-age, -ero)|
MASSES|n.|(people) plebeyos|
MASSIVE|XXX|massiv (-itá)|
MAST|XXX|mast|
MASTER|XXX|(academical degree) magistro|
MASTER|v.|mastrisar; domitar; dominar; victer, superar|
MASTER|n.|mastre, mastro, chef, director, principale; experte; instructor|
MASTERFUL|XXX|despotic, imperiosi, dominatri|
MASTERLY|XXX|expert, superiori|
MASTERPIECE|XXX|mastre-ovre|
MASTERSHIP|n.|(of a school) mastratu|
MASTERY|XXX|mastrie, domination|
MASTHEAD|XXX|maste-cap|
MASTIC|XXX|mastic|
MASTICATE|v.|masticar (-ation), machar|
MASTIFF|XXX|mastino|
MASTODON|XXX|mastodonte|
MAT|n.|matte, tapissette|
MAT|v.|interplecter|
MATCH|n.|(lucifer) inflammette; (equal) egale; (contest) concurse, match; (marriage) alliantie|
MATCH|v.|(to be or to make similar) egalar (se), acordar, harmonisar; esser pari|
MATCHLESS|XXX|íncomparabil, unic, ínegalabil|
MATE|n.|camarado, companion; (chess) chac-matt; (naut.) submastro, sub oficero|
MATE|v.|acuplar, assortir|
MATERIAL|adj.|material, essential, important|
MATERIAL|n.|materiale (-isme, -ist, -istic), stoff|
MATERNAL|XXX|maternal, matrin (-itá)|
MATHEMATICAL|XXX|matematic (-al)|
MATHEMATICIAN|XXX|matematico|
MATHEMATICS|XXX|matematica|
MATINS|XXX|matutines|
MATRICIDE|XXX|matricide (-ie)|
MATRICULATE|v.|inmatricular|
MATRIMONY|XXX|matrimonie (-al)|
MATRIX|XXX|matricie|
MATRON|XXX|matrona|
MATT|XXX|pallid; matt|
MATTER|XXX|materie, substantie; afere; (pus) supur (-ar), pus|
MATTER-OF-FACT|adj.|prosaic, practic|
MATTING|XXX|stoff por mattes; mattes|
MATTOCK|XXX|pioche|
MATTRESS|XXX|matrasse|
MATURE|XXX|matur (-ar, itá); (of bills) payand|
MATUTINAL|XXX|matinal|
MAUDLIN|XXX|tro sentimental; demí-ebriat, sentimentalach|
MAUL|v.|lacerar, defecter; (of animals) patter|
MAUSOLEUM|XXX|mausoléo|
MAUVE|XXX|malvi, malv-colori|
MAW|XXX|panse, ventre; (birds) cropp|
MAWKISH|XXX|fad, ínsipid; nauseativ|
MAXILLARY|XXX|maxillari|
MAXIM|XXX|maxime; principie|
MAXIMUM|adj.|max, maxim|
MAXIMUM|n.|maximum|
MAY|n.|(month) may; (hawthorn) may-flor, blancospine; (possibly) fórsan (with verb)|
MAY|v.aux.|posser, esser líber, haver li jure|
MAYBUG|XXX|melodonte|
MAYONNAISE|XXX|mayonese|
MAYOR|XXX|borgomastro (-atu), podest|
MAYORESS|XXX|(lady mayor) borgomastra|
MAZE|XXX|labirinte (-in), confusion, perplexitá|
MAZURKA|XXX|mazurka|
MEAD|XXX|hidromel, miel-bir|
MEADOW|XXX|prate, herbiera|
MEADOW SAFFRON|XXX|colchica|
MEADOWSWEET|XXX|spiréa|
MEAGRE|XXX|magri, povri|
MEAL|XXX|repaste, manja; (flour) farine|
MEALY-MOUTHED|XXX|plausibil, mielatri|
MEAN|adj.|mesquin, avari, mediocri; (average) medial|
MEAN|n.|medie, valore medial|
MEAN|v.|significar, voler dir, intenter|
MEANDER|v.|serpentear|
MEANS|n.|medie, remedie; (money) pecunie|
MEANS OF SUPPORT|XXX|victuales; revenú|
MEANWHILE|XXX|ínterim|
MEASLES|XXX|morbille|
MEASURE|n.|mesura (-ar, -abil, -ation), dimension, gradu. scala; (instrument) mesurette; (mus.) ritme, mesura|
MEASUREMENT|XXX|dimension|
MEAT|XXX|carne (-ivori); (food) nutriment|
MECHANIC|XXX|mecanico, machinero|
MECHANICS|XXX|mecanica|
MECHANISM|XXX|mecanisme|
MEDAL|XXX|medallie (-ion)|
MEDDLE|v.|interferer (-entie), ingerer, inmixter se|
MEDDLESOME|XXX|interferent, interferaci|
MEDIAEVAL|XXX|medieval, del mediepoca|
MEDIAN|XXX|median|
MEDIATE|adj.|medial|
MEDIATE|v.|mediar (-ation, -ator), intervenir|
MEDICAL|XXX|medical; (of medicine) medicinal|
MEDICATE|v.|medicar, medicinar|
MEDICINE|XXX|medicament; (science) medicina|
MEDIOCRE|XXX|mediocri (-itá)|
MEDITATE|v.|meditar (-ation, -ativ), ponderar|
MEDIUM|adj.|medial|
MEDIUM|n.|(means) medie, experiente; (scientific) medio; (spir.) medium|
MEDLAR|XXX|mespil|
MEDLEY|XXX|mixtura, conglomerate, potpourri|
MEDULLA|XXX|medulle|
MEED|XXX|recompense|
MEEK|XXX|humil, mild; modest|
MEERSCHAUM|n.|mar-scum|
MEET|adj.|apt, convenent|
MEET|n.|(of hunt) rendevú|
MEET|v.|incontrar (se), assemblar, convenir; (of roads) junter; (fulfil) satisfar; payar; (to meet with) experir, incontrar|
MEETING|XXX|incontra; reunion, interassemblé, convenida; view, juntion|
MEGAPHONE|XXX|megafon, porta-voce|
MELANCHOLY|n.|melancolie (-ic)|
MELEE|XXX|melé|
MELLIFLUOUS|XXX|mielatri, dulcissim|
MELLOW|adj.|matur; moll, dulci|
MELODRAMA|XXX|melodrama (-tic)|
MELODY|XXX|melodie (-osi)|
MELON|XXX|melone|
MELT|v.|fonder, fuser; liquificar se, fluidijar|
MELTING-POT|XXX|fusuore|
MEMBER|XXX|membre (-itá, -ité), socio; deputate|
MEMBRANE|XXX|membrane, pellicul|
MEMENTO|XXX|memorette|
MEMOIRS|XXX|memories, reminiscenties|
MEMORABLE|XXX|memorabil|
MEMORANDUM|XXX|memorandum|
MEMORIAL|adj.|comemorativ|
MEMORIAL|n.|memoriale, monument; petition|
MEMORY|XXX|memorie (-isar)|
MENACE|XXX|menacie (-ar)|
MENAGE|XXX|menage (-ero, -era)|
MENAGERIE|XXX|bestiarium; menagerie|
MEND|v.|reparar, repezzar; (improve) amelio rar (sé); (patch) lappar|
MENDACIOUS|XXX|mentaci (-itá), mentosi|
MENDICANT|adj.|mendicant (-ie)|
MENDICANT|n.|mendico, mendicard|
MENIAL|adj.|servil, domestic, mesquin|
MENINGITIS|XXX|meningite|
MENSTRUATE|v.|menstruar (-ation)|
MENSURATION|XXX|mesuration|
MENTAL|XXX|mental (-itá)|
MENTION|XXX|mention (-ar)|
MENTOR|XXX|mentor|
MENU|XXX|menú|
MEPHITIC|XXX|mefitic|
MERCANTILE|XXX|mercantil, comercial|
MERCENARY|adj.|mercenari|
MERCENARY|n.|mercenario|
MERCHANDISE|XXX|merces|
MERCHANT|XXX|mercante, mercator, negociante|
MERCHANTMAN|XXX|nave mercatori, mercator|
MERCIFUL|XXX|clement, misericordiosi|
MERCILESS|XXX|cruel, inexorabil, dur|
MERCURY|XXX|mercurie (-al)|
MERCY|XXX|clementie, misericordie, compassion|
MERE|adj.|sol, pur, simplic; nequó altri quam|
MERE|n.|lago|
MERETRICIOUS|XXX|curtisanesc; misductent|
MERGE|v.|inmerser se, coalescer, perdir se, fuser se|
MERIDIAN|XXX|meridian (-al)|
MERINGUE|XXX|meringue|
MERINO|XXX|merino|
MERIT|XXX|merite (-er, -osi, -ori)|
MERMAID|XXX|nixa, sirena|
MERMAN|XXX|nix|
MERRY|XXX|gay (-itá, -esse), joyosi|
MERRY-GO-ROUND|XXX|carruselle|
MERRYMAKING|XXX|festada|
MESALLIANCE|XXX|misalliantie|
MESH|v.|(mech.) ingagear|
MESH|n.|lace, rete|
MESMERISE|v.|mesmerisar|
MESS|n.|confusion; sordidage; (mil.) mess|
MESS|v.|(bungle) bosillar; (to soil) sordidar|
MESS-MATE|XXX|camarado de mess|
MESSAGE|XXX|missage (-ero), comunication|
MESSENGER|XXX|missagero, curriero|
MESSIAH|XXX|messía|
MESTIZO|XXX|mestisse|
METAL|XXX|metalle (-io, -in, -isar, -iferi)|
METAL WEIGHT|XXX|póndere|
METALLURGIST|XXX|metallurgo (-ie, -ic)|
METAMORPHOSIS|XXX|metamorfose, transformation|
METAPHOR|XXX|metáfor (-ic)|
METAPHYSICS|XXX|metafisica (-al)|
METE OUT|v.|aportionar; rendir|
METEOR|XXX|meteor (-ic, -ologie)|
METEORITE|XXX|aerolite|
METER|XXX|metre; (instrument) mesurette|
METHINKS|XXX|me sembla que|
METHOD|XXX|metode (-ic, -ist, -isme)|
METHYLATED SPIRIT|XXX|sprite metilat|
METRE|XXX|(unit of length) metre; (mus., poetry) metrica|
METRONOME|XXX|metronom|
METROPOLIS|XXX|capitale, metropole|
METTLE|XXX|spíritu|
METTLESOME|XXX|vervosi|
MEW|n.|(sea-mew) movette|
MEW|v.|faucar, miaular|
MEWS|XXX|stalles|
MIASMA|XXX|miasma (-tic)|
MICA|XXX|mica|
MICRO|n.|(prefix) micro-cosme, -metre, -fon, -scop (-ic)|
MICROBE|XXX|microbio (-bic, -icide)|
MICTURITION|XXX|urination|
MIDDAY|XXX|midíe, medidíe|
MIDDEN|XXX|escombre-cumul, sterc-cunml|
MIDDLE|adj.|medial|
MIDDLE|n.|medie, centre|
MIDDLE AGES|XXX|medievie (-al)|
MIDDLING|XXX|mediocri, passabil|
MIDGET|XXX|pigméo|
MIDLAND|XXX|inlandan, mediterran|
MIDNIGHT|XXX|minocte|
MIDRIB|XXX|medi-coste|
MIDRIFF|XXX|diafragma|
MIDSHIPMAN|n.|(oficero-)aspirante (de marine)|
MIDST|n.|(middle) medie|
MIDWAY|adv.|ye demi-via|
MIDWIFE|XXX|acuchera (-ie)|
MIEN|XXX|mime, aspecte|
MIGHT|n.|fortie, potentie|
MIGHTY|adj.|potent, fort|
MIGNONETTE|XXX|reseda|
MIGRAINE|n.|migren|
MIGRATE|v.|migrar (-ante, -ation, -ator), emigrar|
MILCH-COW|n.|vacca lactant|
MILD|adj.|mild, clement|
MILDEW|n.|mofa (-ar, -osi), ferrugine vegetal|
MILE|n.|milie (-ari, -age)|
MILITARY|adj.|militari|
MILITARY|n.|militare (-isme)|
MILITATE|v.|combatter, oposir|
MILITIA|n.|milicie (-an)|
MILK|n.|lacte (-era, -in, -ifer, -age, -osi, -ar)|
MILK|v.|melcar (-atpr, -atora)|
MILK-FOOD|n.|lactage|
MILKJUG|n.|lacte-pott, cruche|
MILKSOP|n.|horn afeminat, dorloton|
MILKY WAY|n.|via galactic, galaxe|
MILL|n.|(corn) moline (-ar, -ero); (spinning) filería, texteria, usina|
MILL|v.|molinar; (coins) stampar|
MILL DAM|n.|diga molinari|
MILLENIUM|n.|millennie (-ari)|
MILLET|n.|millete|
MILLI|prefix|milli-gramme, -litre, -metre, -pede|
MILLIARD|n.|milliarde|
MILLINER|n.|chapelera (-ie), modista|
MILLION|n.|million (-ario)|
MILLSTONE|n.|mol, petre molinari|
MILT|n.|milz; (fish) sperma|
MIME|n.|mime (-ar); (person) mimo|
MIMIC|n.|mimico|
MIMIC|v.|imitar, mimar|
MIMICRY|n.|mimica|
MIMOSA|n.|mimose|
MINARET|n.|minaret|
MINCE|v.|(chop) haccar; (mannerism) afec tar; vader o parlar con afectation, ear prudmen|
MINCE MATTERS|v.|minimisar lu des agreabil|
MINCED MEAT|n.|haccat carne|
MINCEMEAT|n.|farce (consistent de fructes haccat)|
MINCER|n.|(implement) haccuore|
MIND|n.|(intellect) mente, intelectu; (soul) spíritu, psiche|
MIND|v.|(care for) cuidar, atenter pri, gardar|
MINDFUL|adj.|atentiv, cuidosi|
MINE|n.|mine; (coal) miniera, carboniera|
MINE|pron.|li mi|
MINE|v.|minar|
MINER|n.|minero|
MINERAL|adj.|mineral|
MINERAL|n.|minerale (-ogie)|
MINESWEEPER|n.|dragga-mines|
MINGLE|v.|mixter se|
MINIATURE|n.|miniatura|
MINIM|mus.|demi-note|
MINIMIZE|v.|minimisar|
MINIMUM|adj.|minimal|
MINIMUM|n.|minimum, lu minim|
MINION|n.|minion (-a), favorito|
MINISTER|v.|servir; contribuer|
MINISTER|n.|ministre; ambassador; (eccl.) pastor|
MINISTRATION|n.|servicie|
MINISTRY|n.|ministerie (-al); (eccl.) clero, pastoratu, sacerdotie|
MINOR|adj.|minori (-itá, -ité), inferiori|
MINOR|n.|minorenn|
MINSTER|n.|catedrale|
MINSTREL|n.|menestrel (-ie)|
MINT|n.|(bot.) minte; (coin-factory) monetaría|
MINT|v.|monetar, stampar|
MINUET|n.|menuette|
MINUS|XXX|minus|
MINUTE|adj.|minuciosi; detalliat|
MINUTE|n.|minute; (note) note, (pl.) protocol|
MINUTIAE|n.|minucies|
MINX|n.|un puella impertinent, impertinenta|
MIRACLE|n.|miracul (-osi)|
MIRAGE|n.|mirage, fata-morgana|
MIRE|n.|mudde (-osi), fango|
MIRROR|v.|reflecter, spegular|
MIRROR|n.|spegul|
MIRTHFUL|adj.|gay (-itá, -esse)|
MIS|prefix|mis-aplicar, -dir, -calcular, -prender, -usar, -ducter|
MISADVENTURE|n.|misfortun; accidente|
MISANTHROPE|n.|misantrop (-ie, -ic)|
MISAPPREHEND|v.|miscomprender|
MISAPPROPRIATE|v.|misapropriar|
MISBEGOTTEN|adj.|abortet, ínlegitim|
MISBEHAVE|v.|mal conduir se, misconduir se|
MISCARRY|v.|misacuchar, aborter; (fail) fallir|
MISCELLANEOUS|adj.|diversi, varie|
MISCHIEF|n.|damage, nocentie, male, malicie (-osi)|
MISCONCEIVE|v.|miscomprender, misprender|
MISCONDUCT|v.|conduir se mal; adulterar|
MISCONDUCT|n.|mal conduida; adulteríe; maladministration|
MISCONSTRUE|v.|misinterpretar (-ation)|
MISCREANT|n.|fripon, rascale|
MISDEAL|v.|misdar|
MISDEED|n.|delicte, culpa|
MISDEMEANOUR|n.|malconduida|
MISER|n.|avaro(n)|
MISERABLE|adj.|miserabil|
MISERLY|adj.|avari|
MISERY|n.|misere|
MISFIT|n.|(person) maladjustate|
MISFORTUNE|n.|ínfelicitá, misfortun, mischance|
MISGIVING|n.|presentiment; dúbita|
MISHAP|n.|accidente|
MISLAY|v.|mismetter|
MISLEAD|v.|misducter; seducter|
MISMANAGE|v.|maladministrar, bosillar|
MISNOMER|n.|fals nómine|
MISOGYNIST|n.|misogino (-ie)|
MISPLACE|v.|mismetter, mislocar|
MISPRINT|n.|misprinta, print-erra|
MISPRONOUNCE|v.|mispronunciar|
MISQUOTE|v.|miscitar|
MISREPRESENT|v.|mispresentar (-ation)|
MISRULE|n.|mal guvernation|
MISS|n.|manca, missuccesse; (title) senioretta|
MISS|v.|(feel a want of) sentir li manca de, indiger; (let go by) preterlassar; (a train) ne atinger; (target) mancar; (discover a loss) remarcar un manca, omisser|
MISSAL|n.|messale|
MISSHAPEN|adj.|mal format, misformat|
MISSILE|n.|projectile|
MISSING|adj.|mancant|
MISSION|n.|mission (-ari, -ario)|
MISSIVE|n.|lettre, missage|
MISSPELL|v.|mislitterar, misespelar|
MISSTATE|v.|mispresentar, misdir, malrepresentar|
MIST|n.|nebul (-osi)|
MISTAKE|n.|erra, errore|
MISTAKE|v.|miscomprender; (a person) misconosser; (a thing) misprender|
MISTER|n.|senior|
MISTLETOE|n.|visco|
MISTRANSLATE|v.|mistraducter|
MISTRESS|n.|(of establishment) mastressa, dómina; (ruler) reyenta; (schoolmistress) chef-instruetora, principala; (sweetheart) amata; (kept) metressa|
MISTRUST|v.|misfider, desfider|
MISUNDERSTAND|v.|miscomprender|
MISUSE|n.|misusa, abusa|
MISUSE|v.|misusar, abusar|
MITE|n.|(coin) óbol; (insect) ácare; (particle) particul|
MITIGATE|v.|mitigar (-ation), moderar|
MITRE|eccl.|mitre (-al, -iform)|
MITTEN|n.|demi-gante|
MIX|v.|mixter (-ura, -ion); diluer|
MIZZEN|n.|(naut.) besan (-mast)|
MIZZENMAST|n.|bisan-mast|
MNEMONIC|adj.|mnemonic, memorativ|
MNEMONICS|n.|mnemonica|
MOAN|v.|gemir (-ida); (moan about) plendir; lamentar|
MOAT|n.|circumfosse|
MOB|n.|turbe; populache; canallia|
MOB|v.|turbular; mal tractar|
MOBILE|adj.|mobil (-itá, -isar)|
MOCK|v.|mocar (-ada, -age), deriDer|
MODAL|adj.|modal|
MODE|n.|(fashion) moda, fasson; (manner) maniere, mode; (mus.) modo|
MODEL|n.|modelle, form, exemple|
MODEL|v.|formar, modellar, fassonar|
MODERATE|adj.|moderat, mediocri, sobri; (price) modic|
MODERATE|v.|moderar (-ation)|
MODERN|adj.|modern (-itá, -isme, -isar), hodial|
MODEST|adj.|modest (-ie), pudic|
MODICUM|n.|litt quantité, un poc|
MODIFY|v.|modificar (-ation)|
MODISH|adj.|secun li moda|
MODISTE|n.|modista|
MODULATE|v.|modular (-ation, -ator), adaptar, regular|
MOHAIR|v.|moher|
MOIETY|n.|demí|
MOIRE|n.|moaré|
MOIST|adj.|humid (-ar, -itá)|
MOLAR|n.|(tooth) molare|
MOLASSES|n.|melasse|
MOLE|n.|(zool.) talpe (-ero); (breakwater) molo; (on skin) marca, tuberette|
MOLECULE|XXX|molecul (-ari)|
MOLEHILL|XXX|talp-tumul|
MOLESKINE|XXX|(twilled cloth) moleskine|
MOLEST|v.|genar, molestar (-ation)|
MOLLIFY|v.|lenir, calmar, amollar, mollificar|
MOLLUSC|XXX|mollusco|
MOLTEN|XXX|fondet; fluid|
MOLYBDENUM|XXX|molybdenum|
MOMENT|XXX|moment (-an, -ari); importantie|
MOMENTOUS|XXX|important, gravissim|
MOMENTUM|XXX|momente|
MONAD|XXX|monade|
MONARCH|XXX|monarch (-ic, -ie, -ist, -isme)|
MONASTERY|XXX|monastere, monaciera|
MONASTIC|XXX|monacal|
MONDAY|XXX|lunedí|
MONETARY|XXX|monetari, pecuniari|
MONEY|XXX|moné, pecunie|
MONEY ORDER|XXX|mandate postal|
MONEY-CHANGER|XXX|moné-cambiator|
MONEYLENDER|XXX|prestator|
MONGOOSE|XXX|manguste|
MONGREL|adj.|hibrid(ach), de rasse mixtet|
MONITOR|XXX|sub-instructor; (naut.) monitor|
MONITORY|XXX|monitiv, monitori|
MONK|XXX|monaco (-al, -allia, -atu)|
MONKEY|XXX|simie (-atri, -esc), macaco|
MONKSHOOD|XXX|aconite|
MONO|prefix|mono-crom, -garnie, -grafie, -gramme, -lite, -log, -manie etc.|
MONOCLE|XXX|monocul|
MONOPOLIZE|v.|monopolisar; acaparar|
MONOPOLY|XXX|monopol (-ist, -isar)|
MONOSYLLABLE|XXX|monosíllabe (-ic)|
MONOTONE|n.|monotone|
MONOTONOUS|XXX|monoton (-ie)|
MONSIGNOR|XXX|monsenior|
MONSOON|XXX|monsun|
MONSTER|XXX|monstru (-osi, -ositá), gigante|
MONTH|XXX|mensu (-al)|
MONTHLY|n.|gazette mensual, mensuale|
MONUMENT|XXX|monument (-al)|
MOO|v.|muir (-ida)|
MOOD|XXX|humor, disposition; (gramm.) mode; (mus.) modo|
MOODY|XXX|melancolic, trist, morni|
MOON|XXX|lune (-ari)|
MOONBEAM|XXX|radie del lune|
MOONLIGHT|XXX|luce lunari|
MOOR|v.|amarrar (-age)|
MOOR|n.|torfiera|
MOOT|adj.|discussibil|
MOOT|v.|proposir|
MOP|n.|balay (moll) a lavar, moppe (-ar)|
MOPE|v.|esser morosi, esser trist; enoyar se|
MORAINE|XXX|moren|
MORAL|adj.|moral (-itá, -ist, -isar), etic|
MORALE|XXX|morale|
MORALS|XXX|mores, customes; etica|
MORASS|XXX|palude, morasse|
MORBID|XXX|morbid, maladiv|
MORDANT|XXX|mordent, mordaci, acri, caustic|
MORE|XXX|plu, plu mult|
MORE OR LESS|XXX|plu-minu|
MOREOVER|XXX|adplu, adultra|
MORGANATIC|XXX|morganatic|
MORGUE|XXX|cadavriere|
MORIBUND|XXX|morient|
MORMON|XXX|mormon (-ic, -isme)|
MORN|XXX|matine (-al)|
MORNING|XXX|matine (-al)|
MOROCCO|n.|(leather) safian|
MOROSE|XXX|morosi|
MORPHIA|XXX|morfine (-ist)|
MORPHINE|XXX|morfine (-ist)|
MORROW|XXX|deman; die sequent|
MORSE|XXX|morsa, code telegrafic|
MORSEL|XXX|pezzette|
MORTAL|adj.|mortal (-itá), homan, fatal|
MORTAR|n.|(cement) mortre, cement; (vessel) pistuore; (artill.) mortiere|
MORTGAGE|XXX|hipoteca (-ar, -ario)|
MORTGAGER|XXX|debitor hipotecari|
MORTIFY|v.|mortificar (-ation); chagrinar; (med.) ingangrenar|
MORTISE|XXX|mortese|
MORTUARY|XXX|depó de mortos, cadavriere|
MOSAIC|XXX|mosaica|
MOSQUE|XXX|moské|
MOSQUITO|XXX|mosquite|
MOSQUITO NET|XXX|para-mosquite|
MOSS|XXX|mosse (-i, -atri, -osi, -ut)|
MOST|XXX|max; lu max; max mult|
MOSTLY|XXX|precipue; generalmen, max sovente|
MOTE|n.|(of dust) polvun, pallie|
MOTH|XXX|tinea|
MOTHEATEN|XXX|rodet de tineas|
MOTHER|XXX|matre|
MOTHER WIT|XXX|esprite natural|
MOTHER-IN-LAW|XXX|bel-matre|
MOTHER-OF-PEARL|XXX|perlematre, nacre|
MOTHER-OF-PEARL|XXX|perlematre, nacre (-in)|
MOTHERHOOD|XXX|matrinitá|
MOTHERLY|XXX|maternal, matrin|
MOTHERWIT|XXX|sagiesse natural|
MOTION|XXX|motion; movida; proposition|
MOTIONLESS|XXX|ínmobil, inmo(v)ent|
MOTIVATE|v.|motivar|
MOTIVE|adj.|motiv; motori|
MOTIVE|n.|motive, rason|
MOTLEY|adj.|heterogen, diversachi, pluricolori; color-maculat|
MOTOR|XXX|motor|
MOTOR-CYCLE|XXX|motorcicle|
MOTORCAR|XXX|automobile (-isme)|
MOTTLED|XXX|de varie colores, color-maculat|
MOTTO|XXX|motto, devise|
MOULD|n.|(soil) humo; (fungus) mofa, mofatura; (for casting) forme, modelle, matricie|
MOULD|v.|formar, modellar, fassonar|
MOULDER|n.|(person) formator, modellator|
MOULDER|v.|putrir|
MOULDING|n.|(arch.) corniche|
MOULDY|XXX|mofosi (-tá)|
MOULT|v.|mutar plumes, mutar li pelle|
MOUND|XXX|tumul; colinette; vall|
MOUNT|n.|monte; (in frame) montura|
MOUNT|v.|ascender, montar; (to assemble) monter|
MOUNT UP|v.|acumular se; (clamber) climbar|
MOUNTAIN|XXX|monte|
MOUNTAIN RANGE|XXX|montania|
MOUNTAIN SPINACH|XXX|atriplex|
MOUNTAIN-ASH|XXX|sorbe|
MOUNTAINEER|XXX|alpinist|
MOUNTEBANK|XXX|charlatan, saltimbanco|
MOURN|v.|luctuar, esser in luctu, lamentar|
MOURNFUL|XXX|luctuosi. funebri, lugubri|
MOURNING|n.|(clothes) vestiment funebri|
MOUSE|XXX|mus (-iere, -trappe)|
MOUSTACHE|XXX|mustache (-ut)|
MOUTH|XXX|bocca (-ade); (of river) inboccatura, estuarie; (of animal) fauc|
MOUTH-ORGAN|XXX|bocc-harmonica|
MOUTHPIECE|XXX|bee; (spokesman) portavoce, parlator|
MOVE|n.|move|
MOVE|v.|moer, mover (se); (of the feelings) emoer, atendrir; (change residence) translocar; (propose) proposir|
MOVEMENT|XXX|movement|
MOW|v.|falcear; (with lawn mower) machin-tonder|
MR.|XXX|senior|
MRS N. IS AT HOME ON TUESDAY|XXX|Sra. N. accepte chascun mardi|
MUCH|n.|multcós|
MUCH|adj.|mult|
MUCH TO BE OBLIGED TO YOU|XXX|grand mersí|
MUCILAGE|XXX|mucilágine, colle, glutine|
MUCK|XXX|inpuritá, fec; (manure) sterco|
MUCUS|XXX|muc (-osi, -ositá)|
MUD|XXX|mudde (-osi), fango, slamm|
MUDDLE|n.|desórdine, confusion|
MUDDLE|v.|confuser, desordinar|
